expression; size; sliced on; sign slice; sign size 
(let* ((oyp (+ -22 (begin 12 10))) (qosxiw -13) (gzz 24) (mmji 8)) 11);11;5;(let* ((qosxiw -13)) '());3
(let* ((fyye (/ (/ (if #t 12 -17) (if #f -20 26)) -28)) (v 3) (qpv (- -6 -5)) (kfy -2)) (- 13 qpv));24;-17;(let* ((kfy -2)) '());3
(let* ((mpo (begin 25 14)) (pbse (* 1 15)) (eolcqe 3)) (if (= (+ 0 -5) (- mpo mpo)) -13 3));22;15;(let* ((mpo (begin 14))) '());4
(let* ((jdmuum (+ (+ 9 -17) 21)) (bed (* 13 6)) (ddg (+ 19 13)) (iha -20)) iha);18;-6;(let* ((ddg (+ 19 13))) '());6
(let* ((gsfud (- 5 (/ (/ -1 9) 22))) (kuq (let* () 8)) (zvrboa 26) (iva -9)) (if (< -17 (+ (* (+ -27 (* -11 zvrboa)) iva) -13)) -3 (begin (* 16 (* zvrboa (- -3 gsfud))) 22 (- -26 -19))));49;-5;(let* ((kuq (let* () 8)) (zvrboa 26) (iva -9)) '());6
(letrec* ((u (let ((uqwff 20)) (if #f uqwff (+ (+ -1 uqwff) uqwff)))) (engmw (if #f (/ -28 26) (if #f -22 -20))) (r 22) (v -8)) (/ (begin -17 r) (/ 0 engmw)));34;11;(letrec* ((u (let ((uqwff 20)) (if #f uqwff (+ (+ -1 uqwff) uqwff)))) (v -8)) '());15
(let* ((yi -1) (umkvo -22) (sbeb -25) (age 22)) (begin (set! umkvo sbeb) (+ umkvo -6) -23 19));14;7;(let* ((age 22)) '());3
(let* ((nctazf (begin 16 7)) (vgli (begin 21 -3)) (zks 13) (weyj 21)) 3);10;0;(let* ((nctazf (begin 7))) '());4
(letrec* ((fwwqgl -19) (cjxa -18) (ohqm 7)) -7);5;6;(letrec* ((fwwqgl -19)) '());3
(let ((eftf (begin 15 -23)) (stuvnm 16) (c 1)) (begin (set! stuvnm (- (* (* 8 c) (+ (* c stuvnm) -28)) c)) 19 -21));26;19;(let ((stuvnm 16) (c 1)) (begin (set! stuvnm (- (* (* 8 c) (+ (* c stuvnm) -28)) c))));21
(let* ((vpc (let* ((lm -1)) 17)) (ae (begin -17 27)) (x (* -27 -7)) (docs 2)) (if #f (if (= 9 (/ (* (- (/ 19 28) docs) 2) 11)) ae 15) vpc));34;17;(let* ((vpc (let* () 17)) (ae (begin 27)) (docs 2)) '());7
(let* ((wtag (if #t (if #t (/ -20 -11) -3) (* (+ 26 20) 16))) (nr (if (= -13 -1) 5 28)) (znpgyu -17) (vduwq 15)) (begin -10 -21 -6));30;-21;(let* ((vduwq 15)) '());3
(let ((g (* (if #f 21 (- 8 -30)) 18)) (vqx -21) (l 25) (rw -23)) rw);15;30;(let ((l 25)) '());3
(let* ((wt 11)) (+ 14 28));6;24;(let* ((wt 11)) '());3
(let* ((ks -9) (qhbj -8)) 3);4;-17;(let* ((qhbj -8)) '());3
(letrec* ((k 1) (ilhw -5) (ahs (+ 11 1)) (m 23)) (/ ilhw m));12;11;(letrec* ((m 23)) '());3
(let* ((msdcrf (- 20 14)) (nqixfu 13) (rlx 8)) -23);8;-13;(let* ((rlx 8)) '());3
(let* ((bpoq -17) (gr -25) (fsvi (* 23 18)) (eemqpl 23)) (if #t (if #t (/ (* (+ (- -27 bpoq) -6) (/ -20 11)) (/ (- -11 eemqpl) fsvi)) (+ 21 22)) 11));39;-21;(let* ((eemqpl 23)) '());3
(let* ((gut (begin 5 -24)) (obj 15) (rrs -30)) 21);7;-3;(let* ((gut (begin -24))) '());4
(let* ((rw (let ((ayxhi 26)) -17)) (wx (let () 18)) (jbb (if #t 25 18)) (qbi -14)) (* (- qbi qbi) -22));18;-14;(let* ((rw (let () -17)) (wx (let () 18)) (jbb (if #t 25 18))) '());10
(letrec* ((whh -30) (kizh (if #f -7 14)) (anpmq -3)) anpmq);8;-15;(letrec* ((whh -30)) '());3
(letrec* ((bak -5) (eujy -23)) -17);4;9;(letrec* ((eujy -23)) '());3
(let ((tcui 25) (fswnir -5)) (* (begin tcui (set! tcui (+ (* -27 (- -6 (- (- fswnir (- -22 -24)) (- fswnir 27)))) 20)) 11) (begin 28 tcui -30)));35;3;(let ((fswnir -5)) '());3
(let* ((vki -12) (ok -26) (djhoci -19)) -22);5;-2;(let* ((ok -26)) '());3
(let* ((frjz -21)) (/ -23 (+ (* -14 (/ frjz frjz)) -21)));15;-17;(let* ((frjz -21)) '());3
(let ((iu 23) (joxbrf -29) (kgmkmz -26) (glolmm 23)) (* -8 (if (= (- (/ (* 16 kgmkmz) -25) 11) (- joxbrf 9)) (* (- 2 28) -21) (* -30 -4))));36;-1;(let ((joxbrf -29) (kgmkmz -26) (glolmm 23)) '());5
(letrec* ((zvkc (let* () -1)) (xlzxrb 1) (xyd 27)) (if (< 27 xyd) 29 (+ (/ 12 zvkc) zvkc)));18;18;(letrec* ((zvkc (let* () -1)) (xyd 27)) '());5
(letrec* ((fu -26) (vg (if #t 3 28)) (srlr 20)) (begin fu (- vg 0) (set! fu (/ srlr -1)) vg));19;-24;(letrec* ((fu -26) (srlr 20)) (begin (set! fu (/ srlr -1))));9
(let* ((retnxv -20) (xfts 22)) retnxv);4;-16;(let* ((retnxv -20)) '());3
(letrec* ((hfedp (/ -1 (/ 28 16))) (vzste (- -26 27)) (brvsoi -24)) 10);14;9;(letrec* ((hfedp (/ -1 (/ 28 16)))) '());9
(letrec* ((fwjota 13) (dx (/ -28 17)) (cdz 5)) (if (= 12 (+ 21 -2)) (- 9 -20) (begin (set! dx (if #t fwjota -2)) 8 6)));27;24;(letrec* ((fwjota 13)) '());3
(let ((wpv -13) (qda (letrec* () 14)) (uczkqe 28) (i -3)) (+ 16 4));10;-1;(let ((qda (letrec* () 14)) (i -3)) '());5
(letrec* ((llsiu 8) (oaqm (- 24 1)) (vkysb -2)) (if (= oaqm 17) (* (begin -14 -10) (begin vkysb (+ -17 oaqm))) (- oaqm llsiu)));27;22;(letrec* ((oaqm (- 24 1))) '());6
(let* ((v -22) (au -5) (c 15)) 19);5;-28;(let* ((c 15)) '());3
(let ((hm 5) (wojohk 8) (nq 10) (wedr -9)) (+ (* 12 wojohk) wojohk));12;-15;(let ((wojohk 8)) '());3
(letrec* ((uys (begin -3 -5 -25)) (zwod (* 3 2)) (hxkmx 30) (nsvpn -2)) nsvpn);12;-9;(letrec* ((nsvpn -2)) '());3
(let* ((gq 28) (t (if #t -29 -3)) (lnc -8)) (* (/ (* gq -7) -4) -4));17;-13;(let* ((lnc -8)) '());3
(let* ((wvk -29) (uephma (* 24 17)) (phd 16) (fp -26)) (* uephma (+ (- 1 phd) -28)));18;-22;(let* ((phd 16)) '());3
(let* ((amg (+ -27 10)) (efot (* -17 -15)) (lpby -25)) 18);11;11;(let* ((lpby -25)) '());3
(let* ((tzzo -30) (swx -20) (jewd 17) (npha -29)) (+ 9 (/ 24 (* npha swx))));15;-9;(let* ((npha -29)) '());3
(letrec* ((hn 20) (k -16) (n (* -29 -24)) (gidyka 1)) -22);9;-10;(letrec* ((n (* -29 -24))) '());6
(let ((hlkolx 10) (nfl (if (= -27 0) 2 -30)) (ihxzw 19) (gooztu -24)) (if (< -17 nfl) (if (< 8 -28) (* ihxzw hlkolx) (* -7 (+ nfl (/ (/ (* gooztu nfl) 12) -1)))) (if (< (+ 29 (+ (+ hlkolx 5) -15)) 8) (* 27 -23) ihxzw)));60;16;(let ((hlkolx 10) (nfl (if (= -27 0) 2 -30))) '());10
(let* ((h 0) (grnjb (if (< -23 20) 3 (/ -2 -11))) (dgusa 0) (tmptg -26)) 12);15;-1;(let* ((tmptg -26)) '());3
(let* ((ckpt (* 9 -14)) (ytwjzo 3)) ytwjzo);7;27;(let* ((ytwjzo 3)) '());3
(let* ((bt 0) (vi (* -21 (+ 5 1))) (j -2) (pspuvl 29)) 9);12;-2;(let* ((j -2)) '());3
(let* ((w -1) (wtn -11) (nefuvi 30) (kx 20)) -15);6;-17;(let* ((kx 20)) '());3
(letrec* ((bl -30) (umxcn 23)) (if (< (* (- umxcn 2) (+ -3 bl)) 24) 13 -15));19;-23;(letrec* ((bl -30) (umxcn 23)) '());4
(let* ((xsufs 13)) (if #t (if (< xsufs xsufs) -22 (+ (/ (* xsufs xsufs) -29) (* (+ 14 xsufs) (+ (+ (/ xsufs 8) (/ xsufs xsufs)) (* -13 xsufs))))) -14));42;7;(let* ((xsufs 13)) '());3
(letrec* ((f 23)) (if #t (* (/ 24 -30) -16) f));12;12;(letrec* ((f 23)) '());3
(let* ((pduoi (/ -8 6)) (r 29) (ougm -2)) (begin (+ (- ougm r) (* 8 -18)) (set! ougm (* (+ -30 -30) 15)) (set! pduoi r) -16));29;-6;(let* ((pduoi (dummy -2)) (r 29)) (begin (set! pduoi r)));8
(let ((uu -22)) (- -4 25));6;-30;(let ((uu -22)) '());3
(let ((pj (+ (if #t (if #f 19 -4) (if #t -22 -5)) (let* () -18))) (uxpp 7) (ds (- 19 6)) (pjq -28)) ds);22;26;(let ((pj (+ (if #t (if #f 19 -4) (if #t -22 -5)) (let* () -18))) (ds (- 19 6))) '());20
(letrec* ((oitgt (if #t (begin 20 23) (- (* 23 5) -5))) (bwjd (+ 7 -21)) (xhe -14) (iivj 23)) 14);20;27;(letrec* ((iivj 23)) '());3
(let ((ij (if #f 18 26)) (j 2)) (begin (set! ij -13) -12));10;12;(let ((ij (dummy 2))) (begin (set! ij -13)));7
(let ((ifwthr 23) (ghl -6) (cu 14) (elqj -7)) ifwthr);6;16;(let ((ifwthr 23)) '());3
(let* ((rvk -30) (tcgg -11)) (if (< (/ 18 -1) -27) (- 26 21) (let ((m -20)) -30)));18;-4;(let* () (if (< (/ 18 -1) -27) '() (let ((m -20)) '())));13
(let* ((fo (/ (if #f (+ -15 -28) (- -17 4)) -3)) (ru -2) (ljcno (/ 24 -12)) (xdh -30)) (if (= -3 (/ (+ (- 16 (* -25 2)) ljcno) -29)) (if (< -1 fo) ru (+ -27 11)) xdh));48;-23;(let* ((fo (/ (if #f (+ -15 -28) (- -17 4)) -3)) (ru -2) (ljcno (/ 24 -12))) '());20
(let ((suf (begin 24 -18)) (wcg (if (< -22 -24) -23 1)) (qm 21) (cujrbo -12)) (if #t (if (= 29 (+ 13 (* qm (/ -6 suf)))) 28 5) (begin 15 -2)));34;-24;(let ((suf (begin -18)) (qm 21)) '());5
(letrec* ((obhcrw (if #f (if #f 28 -27) (* 14 19))) (c -28) (h -29)) h);14;-28;(letrec* ((h -29)) '());3
(let* ((s (if #f (begin -11 28) (begin 1 3))) (bd 13) (hp (if #f 10 -14)) (d 27)) (begin -4 27 16 hp));20;0;(let* ((s (if #f (begin 28) (begin 3)))) '());8
(let ((a (begin -9 -21)) (tkfgs (if (= -7 -13) (+ -25 7) (if #t -8 13))) (fqgqok (if #f -23 -25)) (j 27)) -17);23;14;(let ((fqgqok (if #f -23 -25))) '());6
(let* ((iwtpbd 4) (bbmx (+ -9 -12)) (df (if #f 12 7)) (vguj -9)) (* (if #f (begin -24 -22) 5) 5));20;-14;(let* ((df (if #f 12 7))) '());6
(let* ((omrrtj -18) (kcl (begin -12 14)) (sgevp -13) (j -7)) (begin (set! omrrtj (begin sgevp 3)) (* kcl 18) -20 -23));18;-23;(let* ((kcl (begin 14))) '());4
(let* ((gbyurx (begin 24 -29)) (jnxuch 16) (tdoccy 6)) tdoccy);7;-11;(let* ((jnxuch 16)) '());3
(let ((shtmy (* -25 12)) (xdqp -26)) (- (begin (/ shtmy -14) (+ -5 -26) xdqp) (/ (- (* (- 8 (/ -21 (+ 4 (* (* xdqp -7) -24)))) -2) (- xdqp xdqp)) xdqp)));46;11;(let ((xdqp -26)) '());3
(let* ((nnpt (let ((szjd -2)) 26)) (jvuefa 2) (vuli (if #t 18 29)) (bsovy 30)) -2);11;11;(let* ((nnpt (let () 26)) (bsovy 30)) '());5
(let ((bam (begin 17 6 -7)) (mh (if (< -13 15) 12 9)) (wa 17) (qxjoep 19)) (let ((wol (* (/ -25 (* wa 30)) -25)) (m -29)) (- (/ (+ -4 (+ 21 (* -10 mh))) 12) (/ wol wa))));45;13;(let ((mh (if (< -13 15) 12 9))) '());9
(letrec* ((fna 2)) -17);3;12;(letrec* ((fna 2)) '());3
(let* ((g -30) (y -11)) (if #f (- (+ (- y 11) g) (- (+ -1 (+ (* (/ y y) (- (* 14 14) (/ (+ y -14) -23))) -2)) y)) (/ 7 (/ -29 -4))));49;7;(let* ((y -11)) '());3
(let* ((glcy (let* () -29)) (w (if #t -14 17)) (dylzmr 15)) (let ((m (/ 6 -28)) (oxclys -17)) (begin (set! w 9) glcy)));18;-15;(let* ((glcy (let* () -29))) '());4
(letrec* ((pogqzk 6) (shv (if #t -15 13)) (ojeqjy (if #f 2 20)) (mbrqek 25)) 26);12;-30;(letrec* ((ojeqjy (if #f 2 20))) '());6
(letrec* ((kxty (- 10 (if #f 15 -29))) (lisqw -28) (zm -1)) (+ -30 -22));14;21;(letrec* ((kxty (- 10 (if #f 15 -29)))) '());9
(let* ((vk (begin -23 23 26)) (asvv 8) (zrgi -18) (osusg 20)) (begin (set! vk 17) -25));12;-21;(let* ((osusg 20)) '());3
(let* ((dyq 26) (zemag 22)) (if (< (* 15 dyq) -28) (begin dyq 29) (* 9 (letrec* () (+ zemag (/ (- zemag (+ (+ 5 4) (- (/ 14 zemag) dyq))) -13))))));40;-22;(let* ((dyq 26) (zemag 22)) (if (< (* 15 dyq) -28) '() (* 9 (letrec* () (+ zemag (/ (- zemag (+ (+ 5 4) (- (/ 14 zemag) dyq))) -13))))));38
(let* ((d -15) (wipkzw (- 5 -24)) (g (- -24 -29)) (zrcpwp 24)) -8);12;-12;(let* ((d -15)) '());3
(let* ((e (- 19 12)) (mdfs (let* () -17)) (r -15) (w -27)) (if #t r (- (+ (* (/ -6 r) r) (- -10 mdfs)) (if (= mdfs (+ (* r 2) 1)) mdfs 4))));40;11;(let* ((mdfs (let* () -17)) (r -15) (w -27)) '());6
(let ((hm (if #t -20 (let* () 1))) (h -15) (jexta (+ -16 29)) (nl -27)) -23);13;-14;(let ((hm (if #t -20 (let* () 1))) (jexta (+ -16 29))) '());11
(let* ((hcxrfy 11) (u -29) (fnq 18) (rx 26)) -30);6;-3;(let* ((u -29)) '());3
(letrec* ((lrmf -22)) (if #f (if (< 26 (* lrmf -23)) lrmf lrmf) -28));15;-9;(letrec* ((lrmf -22)) '());3
(let* ((p -15) (ydyagu (if (= -3 -6) (+ 18 -9) (if #t -10 -14))) (qftmi (* 24 -15)) (hho -11)) 19);21;5;(let* ((ydyagu (if (= -3 -6) (+ 18 -9) (if #t -10 -14)))) '());15
(letrec* ((wsdv (if #t (let* () -30) 13)) (qnex (if (= 25 17) -21 25)) (lrgjl (+ -18 23)) (trmhrm -29)) trmhrm);19;-22;(letrec* ((wsdv (if #t (let* () -30) 13)) (lrgjl (+ -18 23))) '());11
(let* ((to (- (if #t -13 16) (begin -4 -19))) (x (begin 9 6)) (fhylmm 5) (jdbm -2)) -16);16;20;(let* ((to (- (if #t -13 16) (begin -19)))) '());10
(let* ((bmppdg -6) (get 24)) get);4;11;(let* ((get 24)) '());3
(letrec* ((cow (let ((lfhkt 6)) -14)) (lihky 24) (mqrc (* -8 -15)) (spwo -1)) lihky);11;3;(letrec* ((cow (let () -14)) (spwo -1)) '());5
(letrec* ((lvbyc -6) (w (begin 30 23)) (c (/ 27 25)) (al -12)) c);11;2;(letrec* ((c (/ 27 25))) '());6
(letrec* ((ywxh (begin 5 6 26)) (w (begin -2 -5)) (mu -7) (zs 22)) -15);11;26;(letrec* ((mu -7)) '());3
(letrec* ((hyz (begin -25 -29)) (ps -16) (ddxic -30)) (+ ddxic -3));10;6;(letrec* ((hyz (begin -29))) '());4
(let* ((fwtq -19) (pypqmx 8)) (let ((yvt -21)) (- (/ yvt fwtq) (/ fwtq -1))));15;-18;(let* ((fwtq -19)) '());3
(let* ((jf 21) (pwmcd 5)) (let* ((lvfqhd jf)) (begin (set! pwmcd -15) -14)));9;-24;(let* ((jf 21)) '());3
(let* ((ukky -22)) (let* ((vf -19)) -9));5;5;(let* () (let* ((vf -19)) '()));4
(let ((yndl -7) (btswb -27) (eanxc 8) (tmb -27)) 0);6;1;(let ((btswb -27)) '());3
(let ((a (/ -11 12)) (rikm -23) (u -1)) (let ((dijd u) (yf -15)) (/ (+ dijd 12) (* (/ (/ u -21) (/ yf yf)) -10))));29;-28;(let ((u -1)) '());3
(let* ((wkr (if #f (begin -26 21) -29)) (soc 30) (xv -15) (tohxa 9)) (let* ((tecbl (if #t 23 (/ 0 xv))) (osngds -6)) (begin (- (* -15 tohxa) -16) 18)));28;-9;(let* ((tohxa 9)) '());3
(let ((b 12) (qslij 21) (y 14) (bodxu -24)) 2);6;19;(let ((bodxu -24)) '());3
(let* ((yrplmq 19) (tkel -10) (bnvtj 16)) (if #f (- -17 27) (begin (set! tkel tkel) bnvtj (+ -20 10))));18;8;(let* ((tkel -10) (bnvtj 16)) (if #f '() (begin (set! tkel tkel))));9
(let* ((a -19) (q -15)) (+ (+ -2 18) (/ a q)));13;-19;(let* ((q -15)) '());3
(let* ((mgnd -28) (yld (if (= 17 -12) (/ 22 10) (if #f 23 -4))) (mbhfz (if #f 23 -13)) (bzn -7)) (- (if #f -15 (+ (/ (+ (* yld mgnd) yld) mbhfz) (/ mbhfz (/ bzn 17)))) (begin (if #t (/ mbhfz 24) mgnd) -5 -1)));54;-30;(let* ((mbhfz (if #f 23 -13))) '());6
(letrec* ((l -25) (cfpc (/ 1 -3)) (zcomhi 25)) 10);8;-3;(letrec* ((l -25)) '());3
(let* ((xhr (if #f 2 (if #f -26 12))) (lj -16) (ld 10)) 9);11;-17;(let* ((lj -16)) '());3
(let* ((z (let () 19)) (qcak 29) (tm 7)) (begin (let* () (/ tm (* -12 30))) (set! tm (if #f (* -9 (+ z -2)) (/ tm 14))) z tm));30;8;(let* ((z (let () 19)) (tm 7)) '());5
(letrec* ((orz (begin (if #t 20 4) 26 5)) (oueb -16) (cyjfoj (/ -19 27)) (jdnib -18)) (/ (* jdnib cyjfoj) (/ oueb 28)));24;-24;(letrec* ((orz (begin 5))) '());4
(let* ((csat 27)) (begin 7 csat (+ -23 -2) -17));10;3;(let* ((csat 27)) '());3
(let ((mueczv (if #t (/ 9 20) (begin -8 6))) (g (+ 20 (if #t 8 22))) (ehc (if #f -26 21)) (r 6)) (begin (set! g -25) 15));26;-2;(let ((ehc (if #f -26 21))) '());6
(letrec* ((htp -2) (b (let* () -19)) (szsla 15) (jclk 29)) (if #t (if #t 4 (* b 11)) -15));16;-19;(letrec* ((b (let* () -19))) '());4
(let* ((ywkft 17) (koe -6) (q 26) (zul 15)) (let* ((rajuug (/ koe -8)) (u 15)) (begin (set! ywkft (/ ywkft q)) (+ (* -1 2) -29))));24;10;(let* ((ywkft 17) (koe -6) (q 26)) (let* ((rajuug (/ koe -8))) (begin (set! ywkft (/ ywkft q)))));15
(let* ((rfjexa -5) (fasguy (let* () -16)) (rh 30) (izt -21)) (if (< (/ -26 izt) rfjexa) rfjexa -9));16;-11;(let* ((rfjexa -5) (fasguy (let* () -16)) (izt -21)) '());6
(let* ((smz (let* () 11)) (z -16) (i -3)) -28);6;-4;(let* ((smz (let* () 11)) (i -3)) '());5
(let ((u (begin 24 2 1)) (lo (- 30 (/ 10 28))) (so (if #f -29 23)) (fvu -15)) (begin (set! lo -11) (set! lo (* fvu 2)) so (- -6 lo)));30;3;(let ((fvu -15)) '());3
(letrec* ((az (if #f 12 -24)) (dfo -22)) (+ (+ dfo (+ -24 2)) (begin (set! az (* (* (* 2 (/ -17 (/ (+ (+ az (+ (+ az (/ 21 az)) az)) -13) 12))) -27) (- -14 -17))) (- 0 23) (+ (+ -17 5) dfo))));62;0;(letrec* ((az (if #f 12 -24)) (dfo -22)) (+ (+ dfo (+ -24 2)) (begin (set! az (* (* (* 2 (/ -17 (/ (+ (+ az (+ (+ az (/ 21 az)) az)) -13) 12))) -27) (- -14 -17))) (+ (+ -17 5) dfo))));58
(let ((hdss (if #f (if #t (- 9 -7) 20) -5)) (di (begin 22 -24)) (zz 3) (lqcst -15)) (if #t (if #t zz (/ (if #f di (- -10 -17)) zz)) (if #f (+ lqcst hdss) -25)));38;30;(let ((zz 3)) '());3
(let ((xscp -27) (zs -4) (gx 11)) 25);5;2;(let ((gx 11)) '());3
(let ((h -18)) h);3;-17;(let ((h -18)) '());3
(let* ((esvdyh (let* ((lnl 23)) (* 22 lnl))) (fke 9) (gvk (- -13 19)) (aovqv -20)) (/ -1 (* (/ 4 2) (letrec* () 29))));24;-17;(let* ((esvdyh (let* ((lnl 23)) (* 22 lnl))) (aovqv -20)) (/ -1 (* (/ 4 2) (letrec* () 29))));19
(let* ((ukn (begin 26 -20)) (c -23) (leivs 19) (f -10)) (if #t (+ (begin 0 (* (+ (+ (- 3 c) -1) -5) -29)) (letrec* () -28)) (if #t 29 (begin 20 -24))));34;-26;(let* ((c -23) (leivs 19)) (if #t (+ (begin (* (+ (+ (- 3 c) -1) -5) -29)) (letrec* () -28)) '()));24
(let* ((za (+ 9 -22)) (u (if (= -22 -28) (+ 13 4) 24)) (jw (if #f -20 26)) (afuz 21)) (begin (set! afuz (if #t (+ -20 za) 11)) afuz (set! afuz (/ (+ u 29) 0)) -18));39;-24;(let* ((za (+ 9 -22))) '());6
(let* ((ifr -28) (wupri 1)) ifr);4;-28;(let* ((ifr -28)) '());3
(letrec* ((eyzae (+ (begin 4 -13) (if #f (* -4 14) -27))) (evjlz 0) (e (if #t 28 -3)) (cfjkah -29)) (if (< 15 evjlz) (* (* -30 29) 25) (if #f (begin -16 cfjkah) (- evjlz cfjkah))));40;-8;(letrec* ((eyzae (+ (begin -13) (if #f (* -4 14) -27))) (evjlz 0)) '());14
(letrec* ((dvwor (begin (- 25 16) 6 4)) (o (- 26 -8)) (bk (+ 24 18)) (mjwpz -2)) (- -30 (- bk dvwor)));24;14;(letrec* ((bk (+ 24 18))) '());6
(let* ((ze 23) (qsrt 5)) (/ qsrt qsrt));7;-4;(let* ((ze 23)) '());3
(letrec* ((salg (/ (/ 7 -13) 3)) (d (if #f 0 15)) (z -19)) (+ (begin (set! salg 28) -28) (if (< salg (- 16 d)) (* -30 (+ salg -13)) 16)));35;-18;(letrec* ((salg (dummy -2)) (d (if #f 0 15))) (+ (begin (set! salg 28) -28) (if (< salg (- 16 d)) (* -30 (+ salg -13)) 16)));30
(let* ((bpiwmd -2)) (begin (if #t (if #t (* 22 (+ 23 bpiwmd)) -13) (- 29 (- (- (+ bpiwmd -2) 9) bpiwmd))) -2 bpiwmd 12));31;-1;(let* ((bpiwmd -2)) '());3
(let* ((yan 6)) -17);3;6;(let* ((yan 6)) '());3
(let* ((qyg (begin 11 4)) (ltkwyo 26) (bw 8)) (+ (if (< 24 -29) (if (< (+ -17 bw) ltkwyo) (/ (/ -28 (- (* (+ (+ qyg (- ltkwyo qyg)) bw) qyg) -4)) -19) (/ (+ (- (- -12 28) 5) 15) bw)) (let* () qyg)) (begin (if #f bw (+ (- 7 (+ bw 30)) -5)) bw bw)));74;24;(let* ((qyg (begin 4)) (ltkwyo 26) (bw 8)) (+ (if (< 24 -29) (if (< (+ -17 bw) ltkwyo) (/ (/ -28 (- (* (+ (+ qyg (- ltkwyo qyg)) bw) qyg) -4)) -19) (/ (+ (- (- -12 28) 5) 15) bw)) (let* () qyg)) (begin bw)));59
(let* ((kw (let* () 3)) (om -26) (bmb 10)) (if #t 30 (if #t 4 bmb)));12;1;(let* ((kw (let* () 3)) (om -26)) '());5
(let ((uwzjm -4)) 11);3;-4;(let ((uwzjm -4)) '());3
(let ((j (/ (begin 27 -6) 23)) (xg 24) (vro -16) (gmxiy 9)) gmxiy);11;5;(let ((xg 24)) '());3
(let* ((cy -19) (jvs -24)) (if (< (/ -11 25) (- 16 (/ (/ -25 (* -20 18)) cy))) 17 (* (let () (+ cy (/ (+ cy 25) jvs))) (* (- (+ (+ -29 8) -24) cy) 21))));50;-12;(let* ((cy -19) (jvs -24)) (if (< (/ -11 25) (- 16 (/ (/ -25 (* -20 18)) cy))) '() (* (let () (+ cy (/ (+ cy 25) jvs))) (* (- (+ (+ -29 8) -24) cy) 21))));50
(let* ((i -30) (ozhtvu 27) (pkg 5)) (let* ((h (if #f 24 pkg)) (pi (/ ozhtvu (+ 1 26)))) 3));17;18;(let* ((pkg 5)) (let* ((h (if #f 24 pkg))) '()));8
(let ((cmk (if #t (if #t 20 (/ -20 -16)) 19)) (rhfr -8) (m (/ 1 10)) (vjtnt -6)) (+ vjtnt 10));21;-23;(let ((rhfr -8)) '());3
(let* ((hmgaos (/ 30 20)) (n 26) (iy (* -29 -16)) (pfapzo 28)) hmgaos);12;9;(let* ((n 26)) '());3
(let ((wls -14) (l -26) (jbul 22)) 26);5;-19;(let ((jbul 22)) '());3
(letrec* ((tjrylj (/ -18 -29)) (nium -16) (yalq -7)) 4);8;28;(letrec* ((nium -16)) '());3
(let ((srxh 0) (rulsr -22) (ncir -10) (sc -7)) (* (begin rulsr -16) (+ (- 26 ncir) (begin sc 27))));19;-22;(let ((ncir -10)) '());3
(let* ((dwqxs (if #t (+ 20 -11) (begin 26 -1))) (a (+ -28 (* 10 -9))) (aso (if #t 24 -4)) (b -16)) dwqxs);23;-8;(let* ((dwqxs (if #t (+ 20 -11) (begin -1)))) '());10
(let* ((lzod (* (begin -4 20) 26)) (berggo (if #f -27 (+ -22 27))) (hs -24) (drzzeg 7)) (begin berggo 6 -9));20;1;(let* ((berggo (if #f -27 (+ -22 27)))) '());9
(let ((riyjg (* (begin 18 -13) (/ 5 16))) (ejw (let* () -7)) (f 27) (hbbh -14)) -11);15;13;(let ((ejw (let* () -7))) '());4
(let* ((rr 19) (sdrl 0)) (- sdrl sdrl));7;-24;(let* ((rr 19)) '());3
(let ((ab (+ -9 (+ 0 -26))) (nwfyy 13) (efjtef 18)) 26);11;20;(let ((efjtef 18)) '());3
(let* ((uap (if #t (* 1 14) (/ 19 (if #f 18 5)))) (xwgk -25) (qpzhn 11) (vl 23)) (* 16 (begin (/ qpzhn 18) -15 -10)));27;-17;(let* ((vl 23)) '());3
(let* ((sigkg 12) (izpww -29) (ure 8)) (if (< -27 (+ (* 18 (- sigkg ure)) sigkg)) 4 (* ure ure)));23;-21;(let* ((sigkg 12) (ure 8)) '());4
(let ((tbrts (if #f (+ (+ -20 30) (+ 27 7)) -16)) (drwjqm -21) (vj (if #f -9 4)) (uwfy 21)) (if #f (begin -26 5 (* -29 25)) (- -23 -24)));33;21;(let ((drwjqm -21)) '());3
(let* ((uoli (if #f -10 7)) (gaiavj -8)) (/ (begin uoli (- -10 -14)) 1));15;23;(let* ((gaiavj -8)) '());3
(let ((pvccl (+ 22 (if #f (+ -24 25) -23))) (zpeb 19) (spkau -3) (ha 21)) (if (< (+ (/ spkau 16) -22) 0) ha (if #t pvccl (if (< -21 30) (- 2 (* (/ -6 5) (* ha 1))) -26))));48;8;(let ((pvccl (+ 22 (if #f (+ -24 25) -23))) (spkau -3)) '());13
(letrec* ((su -18) (aif -14)) (+ (+ aif (- (/ (+ aif 19) 26) (+ su (+ aif aif)))) (begin (* (* 4 (+ (/ 13 (/ (/ (/ su (* 19 aif)) aif) aif)) (- 13 -26))) aif) (set! su (/ (- -24 su) (/ (* (* aif (* -26 su)) 20) su))) 0)));74;-25;(letrec* ((su -18) (aif -14)) (+ (+ aif (- (/ (+ aif 19) 26) (+ su (+ aif aif)))) (begin (set! su (/ (- -24 su) (/ (* (* aif (* -26 su)) 20) su))) 0)));46
(let ((m 17)) (+ (+ (+ (* 23 0) m) -24) (- m m)));18;-10;(let ((m 17)) '());3
